
Año;Zona;Total;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2012;06. Tetuán;741;80;79;77;103;81;67;52;38;30;52;42;40
2012;07. Chamberí;666;35;57;79;74;64;87;55;23;45;48;42;57
2012;08. Fuencarral-El Pardo;593;50;64;60;59;51;43;44;33;40;50;51;48
2012;09. Moncloa-Aravaca;394;19;37;50;47;35;41;18;28;26;35;26;32
2012;10. Latina;905;73;70;90;80;112;107;80;61;40;43;73;76
2012;11. Carabanchel;1.329;121;126;161;109;144;136;103;77;84;93;73;102
2012;12. Usera;839;78;104;67;71;93;104;66;38;58;56;63;41
2012;13. Puente de Vallecas;1.795;116;220;157;175;176;174;173;132;130;119;101;122
2012;14. Moratalaz;317;21;50;37;29;24;38;15;19;15;26;29;14
2012;15. Ciudad Lineal;641;54;59;66;80;60;70;60;27;42;37;50;36
2012;16. Hortaleza;221;22;17;20;27;27;21;12;13;13;16;15;18
2012;17. Villaverde;743;54;51;65;60;67;78;75;50;54;58;67;64
2012;18. Villa de Vallecas;406;48;35;38;41;66;48;16;13;40;23;31;7
2012;19. Vicálvaro;287;26;25;29;43;32;22;26;15;13;28;15;13
2012;20. San Blas-Canillejas;376;20;31;46;52;34;42;31;29;23;20;26;22
2012;21. Barajas;176;18;23;11;34;19;6;9;7;2;16;17;14
2012;Otras zonas;21;1;1;11;0;6;0;0;0;0;0;2;0
2013;Ciudad de Madrid;15.864;1.134;1.219;1.404;1.558;1.450;1.553;1.243;1.161;1.234;1.332;1.286;1.290
2013;01. Centro;3.617;285;301;362;337;285;277;242;268;229;307;363;361
2013;02. Arganzuela;389;18;30;35;47;42;51;30;41;20;25;28;22
2013;03. Retiro;584;32;33;52;79;58;57;51;32;53;55;44;38
2013;04. Salamanca;356;29;22;29;36;48;40;29;22;21;30;26;24
2013;05. Chamartín;1.457;110;121;101;153;126;162;109;63;140;134;120;118
2013;06. Tetuán;569;44;72;56;61;25;47;43;33;49;41;48;50
2013;07. Chamberí;1.389;98;105;120;137;145;104;118;111;118;127;119;87
2013;08. Fuencarral-El Pardo;411;22;22;47;33;35;28;39;26;39;52;36;32
2013;09. Moncloa-Aravaca;217;13;14;16;23;27;33;16;12;19;20;12;12
2013;10. Latina;357;23;36;20;48;41;38;34;17;19;33;25;23
2013;11. Carabanchel;291;22;20;20;17;31;42;29;26;23;23;18;20
2013;12. Usera;1.191;94;98;89;112;114;140;110;98;86;80;79;91
2013;13. Puente de Vallecas;698;50;38;58;67;70;90;53;63;67;43;49;50
2013;14. Moratalaz;794;56;54;56;65;75;81;68;49;65;100;52;73
2013;15. Ciudad Lineal;802;45;46;55;79;84;97;63;79;61;58;56;79
2013;16. Hortaleza;753;72;53;66;76;69;71;42;46;62;48;79;69
2013;17. Villaverde;700;33;54;81;64;64;78;66;51;57;52;42;58
2013;18. Villa de Vallecas;467;32;34;54;50;33;44;32;57;35;38;33;25
2013;19. Vicálvaro;167;10;8;18;14;18;22;13;15;13;11;10;15
2013;20. San Blas-Canillejas;515;39;48;52;46;41;39;53;37;43;49;34;34
2013;21. Barajas;137;7;10;17;14;19;10;3;15;15;5;13;9
2013;Otras zonas;3;0;0;0;0;0;2;0;0;0;1;0;0
2014;Ciudad de Madrid;15.315;1.279;1.226;1.480;1.413;1.417;1.325;1.243;1.138;1.118;1.299;1.173;1.204
2014;01. Centro;3.047;270;218;313;303;300;302;289;277;199;206;177;193
2014;02. Arganzuela;675;49;48;51;61;51;58;80;43;56;72;52;54
2014;03. Retiro;332;24;32;28;26;34;31;22;19;18;42;36;20
2014;04. Salamanca;1.018;126;132;115;64;92;56;48;35;79;83;93;95
2014;05. Chamartín;891;59;90;86;95;94;77;67;66;70;72;55;60
2014;06. Tetuán;711;38;66;69;77;58;58;61;57;56;57;54;60
2014;07. Chamberí;461;48;30;46;50;32;34;30;37;36;45;38;35
2014;08. Fuencarral-El Pardo;522;52;23;62;59;28;45;44;42;41;44;45;37
2014;09. Moncloa-Aravaca;312;24;28;34;25;22;30;21;22;24;25;32;25
2014;10. Latina;616;53;36;44;45;46;51;66;54;58;59;51;53
2014;11. Carabanchel;1.227;104;104;130;121;122;115;95;95;64;84;93;100
2014;12. Usera;870;72;60;83;77;76;76;75;64;62;83;84;58
2014;13. Puente de Vallecas;1.521;164;130;152;151;160;144;128;88;101;130;93;80
2014;14. Moratalaz;154;8;13;16;21;14;14;9;18;10;8;10;13
2014;15. Ciudad Lineal;599;40;57;51;46;45;44;42;64;40;63;61;46
2014;16. Hortaleza;298;13;14;28;25;39;20;14;23;16;32;24;50
2014;17. Villaverde;608;55;41;48;68;62;57;43;43;43;45;44;59
2014;18. Villa de Vallecas;535;39;44;47;39;62;45;41;37;58;57;36;30
2014;19. Vicálvaro;292;4;25;25;17;35;20;33;18;21;25;33;36
2014;20. San Blas-Canillejas;450;27;23;34;30;29;28;27;24;52;47;49;80
2014;21. Barajas;168;10;11;17;12;16;20;8;12;14;20;8;20
2014;Otras zonas;8;0;1;1;1;0;0;0;0;0;0;5;0
2015;Ciudad de Madrid;13.220;1.096;1.091;1.306;1.167;1.351;1.165;1.078;835;1.020;1.023;1.023;1.065
